# pixel vinkelx vinkely
349 -0.170086 0.000331
350 -0.169731 0.000331
351 -0.169377 0.000331
352 -0.169022 0.000331
353 -0.168668 0.000331
354 -0.168313 0.000331
355 -0.167959 0.000331
356 -0.167605 0.000331
357 -0.167251 0.000331
358 -0.166896 0.000331
359 -0.166542 0.000331
360 -0.166188 0.000331
361 -0.165834 0.000331
362 -0.165480 0.000331
363 -0.165126 0.000331
364 -0.164773 0.000331
365 -0.164419 0.000331
366 -0.164065 0.000331
367 -0.163712 0.000331
368 -0.163358 0.000331
369 -0.163005 0.000331
370 -0.162651 0.000331
371 -0.162298 0.000331
372 -0.161945 0.000331
373 -0.161591 0.000331
374 -0.161238 0.000331
375 -0.160885 0.000331
376 -0.160532 0.000331
377 -0.160179 0.000331
378 -0.159826 0.000331
379 -0.159474 0.000331
380 -0.159121 0.000331
381 -0.158768 0.000331
382 -0.158415 0.000331
383 -0.158063 0.000331
384 -0.157710 0.000331
385 -0.157358 0.000331
386 -0.157006 0.000331
387 -0.156653 0.000331
388 -0.156301 0.000331
389 -0.155949 0.000331
390 -0.155597 0.000331
391 -0.155245 0.000331
392 -0.154893 0.000331
393 -0.154541 0.000331
394 -0.154189 0.000331
395 -0.153837 0.000331
396 -0.153485 0.000331
397 -0.153133 0.000331
398 -0.152782 0.000331
399 -0.152430 0.000331
400 -0.152079 0.000331
401 -0.151727 0.000331
402 -0.151376 0.000331
403 -0.151025 0.000331
404 -0.150673 0.000331
405 -0.150322 0.000331
406 -0.149971 0.000331
407 -0.149620 0.000331
408 -0.149269 0.000331
409 -0.148918 0.000331
410 -0.148567 0.000331
411 -0.148216 0.000331
412 -0.147866 0.000331
413 -0.147515 0.000331
414 -0.147164 0.000331
415 -0.146814 0.000331
416 -0.146463 0.000331
417 -0.146113 0.000331
418 -0.145762 0.000331
419 -0.145412 0.000331
420 -0.145062 0.000331
421 -0.144711 0.000331
422 -0.144361 0.000331
423 -0.144011 0.000331
424 -0.143661 0.000331
425 -0.143311 0.000331
426 -0.142961 0.000331
427 -0.142611 0.000331
428 -0.142262 0.000331
429 -0.141912 0.000331
430 -0.141562 0.000331
431 -0.141213 0.000331
432 -0.140863 0.000331
433 -0.140514 0.000331
434 -0.140164 0.000331
435 -0.139815 0.000331
436 -0.139466 0.000331
437 -0.139116 0.000331
438 -0.138767 0.000331
439 -0.138418 0.000331
440 -0.138069 0.000331
441 -0.137720 0.000331
442 -0.137371 0.000331
443 -0.137022 0.000331
444 -0.136674 0.000331
445 -0.136325 0.000331
446 -0.135976 0.000331
447 -0.135628 0.000331
448 -0.135279 0.000331
449 -0.134931 0.000331
450 -0.134582 0.000331
451 -0.134234 0.000331
452 -0.133885 0.000331
453 -0.133537 0.000331
454 -0.133189 0.000331
455 -0.132841 0.000331
456 -0.132493 0.000331
457 -0.132145 0.000331
458 -0.131797 0.000331
459 -0.131449 0.000331
460 -0.131101 0.000331
461 -0.130753 0.000331
462 -0.130405 0.000331
463 -0.130058 0.000331
464 -0.129710 0.000331
465 -0.129363 0.000331
