# pixel vinkelx vinkely
358 0.228129 0.001365
359 0.229454 0.001365
360 0.230779 0.001365
361 0.232106 0.001365
362 0.233433 0.001365
363 0.234760 0.001365
364 0.236089 0.001365
365 0.237418 0.001365
366 0.238748 0.001365
367 0.240079 0.001365
368 0.241410 0.001365
369 0.242742 0.001365
370 0.244076 0.001365
371 0.245410 0.001365
372 0.246744 0.001365
373 0.248080 0.001365
374 0.249416 0.001365
375 0.250754 0.001365
376 0.252092 0.001365
377 0.253431 0.001365
378 0.254770 0.001365
379 0.256111 0.001365
380 0.257453 0.001365
381 0.258795 0.001365
382 0.260138 0.001365
383 0.261483 0.001365
